"filename", "language", "C++", "comment", "blank", "total"
"/home/hussein/prog-project/include/Connection.h", "C++", 28, 0, 11, 39
"/home/hussein/prog-project/include/Logger.h", "C++", 12, 0, 7, 19
"/home/hussein/prog-project/include/Number.h", "C++", 15, 1, 9, 25
"/home/hussein/prog-project/include/Number.tpp", "C++", 110, 0, 35, 145
"/home/hussein/prog-project/include/NumberValue.h", "C++", 20, 0, 9, 29
"/home/hussein/prog-project/include/NumberValue.tpp", "C++", 53, 1, 15, 69
"/home/hussein/prog-project/include/Response.h", "C++", 11, 0, 5, 16
"/home/hussein/prog-project/include/Serializable.h", "C++", 8, 0, 2, 10
"/home/hussein/prog-project/include/Server.h", "C++", 17, 2, 6, 25
"/home/hussein/prog-project/include/String.h", "C++", 14, 0, 8, 22
"/home/hussein/prog-project/include/StringValue.h", "C++", 13, 0, 11, 24
"/home/hussein/prog-project/include/Type.h", "C++", 25, 1, 17, 43
"/home/hussein/prog-project/include/Value.h", "C++", 14, 0, 12, 26
"/home/hussein/prog-project/include/ValueSet.h", "C++", 10, 0, 5, 15
"/home/hussein/prog-project/include/command_handler.h", "C++", 14, 0, 10, 24
"/home/hussein/prog-project/include/config.h", "C++", 19, 0, 5, 24
"/home/hussein/prog-project/include/datastore.h", "C++", 17, 1, 5, 23
"/home/hussein/prog-project/include/exception.h", "C++", 12, 0, 5, 17
"/home/hussein/prog-project/include/hashtable.h", "C++", 25, 0, 8, 33
"/home/hussein/prog-project/include/hashtable.tpp", "C++", 100, 0, 22, 122
"/home/hussein/prog-project/include/linked_list.h", "C++", 34, 0, 15, 49
"/home/hussein/prog-project/include/linked_list.tpp", "C++", 76, 1, 32, 109
"Total", "-", 647, 7, 254, 908
